jd,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,F10,F81,S10,S10B,XM10,XM10B
2457884.0,7,3,3,0,7,3,3,15,69.0,77.0,62.3,67.5,66.5,73.3
2457885.0,3,15,7,3,3,3,3,7,69.0,76.8,62.2,67.5,67.6,73.5
2457886.0,7,3,7,7,15,3,3,3,69.0,76.5,62.4,67.4,67.5,73.6
2457887.0,3,7,3,3,3,3,3,3,70.0,76.0,62.7,67.3,67.0,73.7
2457888.0,7,7,7,15,15,7,7,15,71.0,75.6,63.1,67.3,69.7,73.8
2457889.0,3,7,7,27,7,15,27,15,71.0,75.3,63.6,67.2,69.7,73.9
2457890.0,15,15,7,7,15,3,3,7,72.0,75.2,64.1,67.1,72.3,74.0
2457891.0,7,7,15,15,7,3,7,7,71.0,75.2,64.7,67.1,73.9,74.1
2457892.0,27,15,15,7,3,3,3,7,72.0,75.2,65.4,67.0,79.3,74.3
2457893.0,7,15,7,3,7,15,15,15,72.0,75.1,65.9,67.0,81.6,74.4
2457894.0,27,27,27,27,27,27,15,15,72.0,75.1,66.5,66.9,82.0,74.6
2457895.0,15,15,15,7,7,7,7,7,74.0,75.1,67.0,66.9,83.6,74.7
2457896.0,7,7,7,7,15,7,15,15,74.0,75.0,67.5,66.9,84.3,74.8
2457897.0,7,15,7,3,7,3,7,7,76.0,75.0,68.0,66.8,85.7,74.9
2457898.0,7,7,3,3,3,3,0,3,78.0,75.0,68.3,66.8,84.6,75.0
2457899.0,0,3,0,3,3,3,3,7,76.0,75.0,68.4,66.7,83.4,75.0
2457900.0,3,3,3,3,3,0,3,3,80.0,75.0,68.4,66.7,83.4,75.1
2457901.0,3,3,0,3,3,15,7,80,82.0,75.0,68.2,66.6,81.3,75.2
2457902.0,80,140,80,48,27,7,3,3,79.0,75.1,67.7,66.5,76.9,75.3
2457903.0,3,3,7,7,27,15,15,3,76.0,75.1,67.2,66.5,74.1,75.5
2457904.0,7,27,7,3,3,3,3,3,74.0,75.3,66.7,66.4,69.1,75.5
2457905.0,3,7,3,0,7,0,3,7,74.0,75.4,66.2,66.3,69.1,75.6
2457906.0,3,3,3,3,3,15,7,15,76.0,75.6,66.0,66.2,73.7,75.6
2457907.0,7,7,3,3,3,3,3,3,78.0,75.6,65.9,66.1,72.2,75.6
2457908.0,0,3,7,7,15,27,7,3,78.0,75.7,66.0,66.1,77.1,75.7
2457909.0,3,3,3,0,3,0,0,3,78.0,75.9,66.1,66.0,80.3,75.7
2457910.0,3,7,3,3,7,3,3,7,79.0,76.0,66.3,65.9,79.7,75.7
2457911.0,7,7,3,3,7,3,3,3,75.0,76.1,66.4,65.8,81.0,75.7
2457912.0,3,7,7,3,3,3,0,7,76.0,76.2,66.5,65.8,77.8,75.6
2457913.0,3,0,3,3,7,3,3,3,74.0,76.2,66.5,65.7,76.5,75.6
2457914.0,15,3,3,3,3,3,3,3,74.0,76.2,66.6,65.7,74.7,75.6
2457915.0,3,3,3,3,3,3,3,3,75.0,76.1,66.6,65.6,75.6,75.6
2457916.0,3,7,15,7,15,48,27,15,74.0,76.0,66.7,65.5,77.0,75.7
2457917.0,7,7,7,3,7,7,7,15,75.0,75.9,66.7,65.5,77.3,75.8
2457918.0,15,7,3,15,3,7,7,3,75.0,75.9,66.7,65.4,77.0,75.9
2457919.0,0,3,7,7,7,7,3,3,74.0,75.8,66.7,65.4,81.1,75.9
2457920.0,7,3,3,3,3,3,3,0,77.0,75.8,66.6,65.3,82.9,75.9
2457921.0,3,7,27,15,48,27,15,48,74.0,75.7,66.6,65.3,82.1,75.9
2457922.0,27,27,7,7,7,7,27,15,75.0,75.7,66.5,65.2,83.5,76.0
2457923.0,15,15,7,7,15,7,7,7,75.0,75.7,66.5,65.2,84.5,76.0
2457924.0,3,7,7,7,3,3,0,3,74.0,75.7,66.4,65.2,82.1,76.1
2457925.0,3,3,3,3,3,3,0,0,74.0,75.7,66.4,65.2,81.1,76.1
2457926.0,3,3,3,3,3,3,7,7,74.0,75.7,66.2,65.2,80.9,76.1
2457927.0,15,7,3,3,3,3,15,7,74.0,75.8,66.0,65.2,78.3,76.1
2457928.0,3,3,3,7,3,3,7,7,74.0,75.8,65.7,65.2,77.4,76.1
2457929.0,7,3,7,15,7,7,15,15,74.0,75.9,65.3,65.2,75.4,76.2
2457930.0,7,7,27,15,7,7,7,7,74.0,75.9,64.9,65.2,75.6,76.3
2457931.0,15,7,3,7,7,3,7,7,73.7,75.9,64.5,65.2,73.6,76.3
2457932.0,7,7,3,3,3,3,0,3,74.1,76.0,64.1,65.2,72.9,76.4
2457933.0,3,7,7,7,3,3,0,3,72.1,76.0,63.6,65.2,72.5,76.5
2457934.0,3,7,7,7,3,3,3,3,71.8,76.0,63.3,65.2,72.9,76.5
2457935.0,0,3,3,3,7,3,3,0,71.5,76.0,62.9,65.2,72.5,76.4
2457936.0,7,15,15,7,15,15,15,7,70.7,75.9,62.7,65.1,73.1,76.4
2457937.0,15,7,48,27,15,7,15,27,71.2,75.9,62.6,65.1,71.7,76.3
2457938.0,7,7,3,7,3,3,3,3,71.7,75.8,62.6,65.1,69.5,76.1
